job_title,Unnamed: 1,key_skills,role_category,location,functional_area,industry,role,longitude,latitude,salary,min_experience,max_experience
have confidence to convince customer then join adeeba (inbound voice),,outbound| medical| technical support| technical support associate| email| technical| us shift| antivirus| troubleshooting| comp,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,2781,0.0,1.0
business transformation consultant,,project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management,,"delhi ncr,mumbai,bengaluru",other,"strategy, management consulting firms",other,121.0977529,14.6719732,6096,3.0,8.0
content editor,,digital media| php| recruitment| bengali| lms| business administration| content editor| journalism| literature| administration,Content Development,hyderabad,"journalism , editing , content","media, entertainment, internet",content developer,78.4740613,17.360589,5611,3.0,6.0
graphics hardware engineer,,graphics| simulation| power management| electronics| hardware| research| system analysis| electricals,Programming & Design,bengaluru,"it software - embedded , eda , vlsi , asic , chip design","it-software, software services",software developer,77.590082,12.9767936,3804,5.0,7.0
visual designer,,motion graphics| infographics| illustrator| animations| infographics| corel draw| photoshop| coreldraw| visual designer,Creative,bengaluru,"design , creative , user experience","it-software, software services",visualiser,77.590082,12.9767936,3159,1.0,3.0
web designer,,illustrator| web designing| photoshop| css| web technologies| xml| intranet| business executive,Programming & Design,bengaluru,"it software - application programming , maintenance","it-software, software services",graphic/web designer,77.590082,12.9767936,4963,3.0,8.0
accounts executives,,tally| retail| accounts executive| retail executive,Accounts,mumbai,"accounts , finance , tax , company secretary , audit","industrial products, heavy machinery",accounts executive/accountant,72.8773928,19.0759899,5957,3.0,8.0
finance & accounting associates,,financial reporting| due diligence| data analysis| accounting| international finance| banking,Accounts,noida,"accounts , finance , tax , company secretary , audit","banking, financial services, broking",accounts manager,77.3271074,28.5707841,6420,2.0,5.0
dealer - retail broking,,nse| lead generation| compliance| relationship| equity| client acquisition| research| revenue generation| monitoring| hni client handling,Institutional Sales,kolkata,"sales , retail , business development","accounting, finance",sales executive/officer,88.35769124,22.5414185,4106,1.0,5.0
senior software developer (mvc .net),,mysql| javascript| uml| server| css| technical writing| html5| bootstrap| microsoft| technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| visual studio| quality| ms sql| infrastructure| .net| agile| angularjs| aws,Programming & Design,pune,"it software - application programming , maintenance","it-software, software services",software developer,73.8544541,18.521428,2274,5.0,7.0
client relationship partner,,mis reporting| trade| operational risk| banking| relationship| client relationship| saving,Retail/Personal Banking,bengaluru,"financial services , banking , investments , insurance","banking, financial services, broking",sales officer,77.590082,12.9767936,3290,2.0,7.0
"sales manger opening in an e-commerce industry- (mumbai, pune)",,sales strategy| sales management| b2b sales| corporate sales| institutional sales,Institutional Sales,"mumbai,pune","sales , retail , business development","internet, ecommerce",sales/business development manager,72.840292,18.9560691,4565,2.0,7.0
dot net developer,,soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Programming & Design,"ahmedabad,ahmedabad","it software - application programming , maintenance","it-software, software services",software developer,72.5797068,23.0216238,2105,2.0,7.0
lead business systems analyst,,analyst,,gurgaon,other,"banking, financial services, broking",other,77.00270015,28.42826235,5581,7.0,8.0
sr. manager- art in mumbai || opportunity @ client side,,art director,Senior Management,mumbai,"design , creative , user experience","internet, ecommerce",creative director,72.8773928,19.0759899,1832,7.0,12.0
hiring for domestic/ international processes.contact the hr asap,,fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| aviation| guest relations| public speaking| pr,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),88.35769124,22.5414185,4974,0.0,3.0
sr . manager,,automobile| warehouse| problem management| manager operations,,ahmedabad,top management,"recruitment, staffing",head/vp/gm-operations,72.5797068,23.0216238,6362,7.0,10.0
manager learning & development,,vide,Senior Management,bengaluru,"hr , recruitment , administration , ir","semiconductors, electronics",head/vp/gm-training & development,77.590082,12.9767936,4563,10.0,15.0
urgent requirement for cce telesales for night shift.,,outbound| telesales| night shift| english| process| technical| inbound calls| service| printers| business executive,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,2023,1.0,6.0
vancancy for inbound tech sales executive,,outbound| service| technical support| process| inbound calls| domestic bpo| bonus| business executive| comp,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),88.35769124,22.5414185,6234,0.0,3.0
infrastructure sso architect- looking for early joiners,,single sign - on| single sign on| it infrastructure| sso,System Design/Implementation/ERP/CRM,"gurgaon,australia","it software - application programming , maintenance","it-software, software services",solution architect / enterprise architect,-79.0305722,-8.123729,4185,10.0,20.0
sr. architect / project position: sr. architect / project,,layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing,Architectural Services,"mumbai,thane","architecture , interior design","real estate, property",architect,72.9701779,19.1943294,1933,10.0,15.0
nosql (couchdb/redis/bigtable/dynamodb),,coding|database design|test cases|analytical|nosql|cassandra,Programming & Design,bengaluru,"it software - dba , datawarehousing",it-software / software services,software developer,77.590082,12.9767936,5722,,
immidate opening for voice & accent trainer @ vee technologies,,accent| auditing| soft skills| training needs| customer service| process compliance,Training,bengaluru (vasanth nagar),"ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",voice & accent trainer,77.58516878,12.98872125,6823,3.0,4.0
walk- in | hdfc life | we are hiring freshers:5th till 20th aug@ delhi,,sales| fresher| marketing,Retail Sales,"delhi ncr,agra,aligarh,bareilly,faridabad,ghaziabad,meerut,moradabad,muzaffarpur","sales , retail , business development",insurance,sales/business development manager,,,2327,0.0,2.0
ait global india private limited is looking for java developer.,,java ee| hibernate| core java| software development| spring mvc| multithreading| ood| jdbc| spring boot| jsf,Programming & Design,pune,"it software - application programming , maintenance","it-software, software services",software developer,73.8544541,18.521428,4770,2.0,5.0
"cloud engineer cloud based it mnc in gurgaon , salary 7 - 8 lpa",,virtualization| cloud computing| server architecture| windows troubleshooting| customer satisfaction| manager technology| deployment| management,Programming & Design,gurgaon,it software - system programming,"real estate, property",technical architect,77.00270015,28.42826235,4307,2.0,4.0
relationship manager - bangalore,,business development| sales| sales marketing| marketing executive| sales executive| sales officer| sales manager| area sales manager| territory sales manager| territory manager| area manager| regional manager| regional sales manager| regional business manager,Retail Sales,bengaluru,"sales , retail , business development","education, teaching, training",sales executive/officer,77.590082,12.9767936,6228,2.0,4.0
territory sales manager-passive networking-mumbai/bangalore/hyderabad,,sales| sale| networking sales| it solution sales| structured cabling| passive networking| data center| cable tray| cabling| data center rack| data - centre rack| lan| utp cables,Corporate Sales,"bengaluru,hyderabad,mumbai","sales , retail , business development","electricals, switchgears",sales/business development manager,78.5453172,17.3562,6061,3.0,8.0
business development manager,,marketing executive| distributors| customer profiling| sales strategy| market research| business development| sales executive,Retail Sales,"bengaluru,mumbai,delhi","sales , retail , business development","it-software, software services",sales/business development manager,73.018309,19.0061273,5052,3.0,5.0
senior manager-fundraising,,fundraising| finance,Operations/Processes/Finance/Legal,bengaluru,"financial services , banking , investments , insurance","medical, healthcare, hospitals",finance/budgeting manager,77.590082,12.9767936,4754,12.0,18.0
bulk hiring travel sales consultants us /uk shifts call asap,,worldspan| travel sales consultants| galileo| amadeus| gds,Voice,"delhi ncr,gurgaon","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),77.10436033,28.42208445,6213,1.0,5.0
ui developer (frontend developer),,front end| email| pdf| min| ui| phone| strategic hr| doc| consultancy| recruitment,Programming & Design,mumbai,"it software - application programming , maintenance","construction, engineering, cement, metals",software developer,72.8773928,19.0759899,6069,3.0,8.0
netsuite technical consultant,,cvs| erp| rest| middle east| technical| customization| e-commerce| crm| open| who,System Design/Implementation/ERP/CRM,mumbai,"it software - erp , crm","it-software, software services",outside technical consultant,72.8773928,19.0759899,6352,3.0,5.0
"java full stack – technical lead, senior engineer",,java|angular js|hibernate|core java|technical leader|technical|javascript|spring|jquery|js framework,Programming & Design,bengaluru,"it software - application programming , maintenance",it-software / software services,software developer,77.590082,12.9767936,2456,,
adm - external affairs &amp; csr - bangalore,,senior management| ngo| key skills| corporate social responsibility| govt liasioning| corporate pr| external communications,CSR & Sustainability,bengaluru,csr & sustainability,"automobile, auto anciliary, auto components",csr manager,77.590082,12.9767936,3893,8.0,13.0
immediate opening asp.net mvc developers for mumbai (worli),,asp.net mvc| entity framework| api,Programming & Design,mumbai,"it software - application programming , maintenance","it-software, software services",software developer,72.8773928,19.0759899,6003,3.0,5.0
home loan,,loans| direct sales associate| policies| bfsi| finance| sanction| who,Retail/Personal Banking,kolkata,"financial services , banking , investments , insurance","recruitment, staffing",sales officer,88.35769124,22.5414185,2657,1.0,4.0
"sr. resident, general & laparoscopic surgery",,monitoring| senior resident| ram| dnb| dmc,Medical Professional,delhi,"medical , healthcare , r&d , pharmaceuticals , biotechnology","medical, healthcare, hospitals",surgeon,77.2219388,28.6517178,3852,2.0,6.0
angular developer - fulcrum digital,,angularjs| css| responsive web design| javascript| bootstrap| html| json| jquery| web development| grunt,Programming & Design,pune,"it software - application programming , maintenance","it-software, software services",software developer,73.8544541,18.521428,3209,4.0,6.0
devops engineer - tools & automation,,python| open source| database| automation| java| linux| perl| monitoring| nosql,Programming & Design,navi mumbai,"it software - application programming , maintenance","it-software, software services",software developer,73.0198537,19.0308262,4127,5.0,8.0
great opportunity to join top mncs in kolkata! grab them while it last,,pr| international bpo| chat process| aviation| back office| web chat| guest relations| public speaking| bcom| fresher| inbound process| outbound| uk process| icse| communication skills| cbse,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),88.35769124,22.5414185,4664,0.0,3.0
qa functional testing,,qa| functional testing,Programming & Design,bengaluru,it software - qa & testing,"it-software, software services",testing engineer,77.590082,12.9767936,2155,3.0,6.0
sales engineer,,sales engineering,Retail Sales,bengaluru,"sales , retail , business development","automobile, auto anciliary, auto components",sales/business development manager,77.590082,12.9767936,3534,2.0,7.0
software engineer - unity developer,,design development|software engineering|lighting|computer science|product quality|automation testing|asset management|gui|object oriented programming|android,Programming & Design,bengaluru,it software - mobile,telecom / isp,software developer,77.590082,12.9767936,4927,,
associate level 1 - fund accounting,,nav calculation| fund accounting| automation| corporate actions| accounting| process improvement| analytical| reconciliation| standard operating procedures| subject matter expert,Accounts,chennai,"accounts , finance , tax , company secretary , audit","banking, financial services, broking",accounts executive/accountant,80.270186,13.0836939,1906,1.0,5.0
associate principal analyst - network security research,,networking| secondary research| recruitment| analyst| network security| research| ips| advisory| firewall,System Design/Implementation/ERP/CRM,gurgaon,"it software - application programming , maintenance","it-software, software services",business analyst,77.00270015,28.42826235,6272,3.0,7.0
training specialist,,team management| training need analysis| sales training| retail sales| ms office| product training| training| team building| skill development| retail marketing| trainer| regional management| competency mapping| training delivery,,gurgaon,other,"telcom, isp",other,77.00270015,28.42826235,1784,4.0,8.0
urgent opening for field recruiter,,hiring| hris| procurement| hr| sourcing| recruitment| staffing,HR/ Recruitment / IR,delhi ncr,"hr , recruitment , administration , ir","recruitment, staffing",recruitment executive,77.1212148,28.6882438,3186,1.0,6.0
java developer,,computer science| continuous improvement,Programming & Design,kolkata,"it software - application programming , maintenance","internet, ecommerce",software developer,88.35769124,22.5414185,5744,4.0,7.0
urgent openings for pharma freshers,,pharmaceutical| medical| pharma| medical billing| healthcare,Medical Professional,pune,"medical , healthcare , r&d , pharmaceuticals , biotechnology","pharma, biotech, clinical research",medical representative,73.8544541,18.521428,5195,0.0,3.0
front end developer - wordpress/html/css/javascript,,css| wordpress| mysql| javascript| php| html| jquery| seo| ajax| hosting,Programming & Design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,77.590082,12.9767936,3683,3.0,5.0
mechanical maintenance – btech / diploma,,mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",hyderabad,other,fmcg / foods / beverage,"suguna group was founded in the year 1984 with the inception of suguna foods in poultry sector by first generation entrepreneurs. suguna is a usd 1.3 billion (inr 9,000 cr) group and leader in indian protein food/animal farming industry. with an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. group companies are suguna foods, suguna dairy, globion, aminovit srilanka, suguna bangladesh and kenya. suguna foods is the largest poultry enterprise in india and it ranks among the top 10 worldwide. the fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. with the intent to provide consumers with fresh, clean and hygienic packed chicken, suguna has set up a chain of modern retail outlets in the name of ã¢â‚¬ëœdaily fresshã¢â‚¬â„¢. suguna foods pioneered contract farming in poultry industry, and now has presence in 21 states in india. suguna as a brand is known for its quality products which has been well accepted by the consumers. suguna group always believes in energising rural india and providing nutritional security to india and is proud to associate with the mission of improving livelihood of 38,000 farmers",78.4740613,17.360589,6087,,
php developer,,javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Programming & Design,noida,"it software - application programming , maintenance","it-software, software services",software developer,77.3271074,28.5707841,5509,2.0,6.0
sr.consultant-power distribution,,renewable energy|power distribution|power sector|banking|electricals,Voice,gurgaon,"ites , bpo , kpo , lpo , customer service , operations",accounting / finance,associate/senior associate -(nontechnical),77.00270015,28.42826235,4560,,
"chinese, spanish language expert (proofcheck medical content),",,spanish language expert| chinese| spanish| medical,Journalist/Writer,"delhi ncr,bengaluru","journalism , editing , content","medical, healthcare, hospitals",proof reader,121.0977529,14.6719732,4235,2.0,7.0
hiring for tech sales_inbound uk/ us voice process,,sales associate| support| voice process| issue| senior| technical| inbound calls| bonus| us shift| software,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,3101,1.0,5.0
support engineers (female candidates),,mcse| database| support engineer,Back Office/Web/Transaction Processing,hyderabad,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),78.4740613,17.360589,3096,1.0,5.0
ms sql developer : 0 - 2 years (only male candidates),,ssrs| sql server| stored procedures| sql development| ms sql,Programming & Design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,1934,1.0,3.0
machine learning engineer || gurgaon/chandigarh location,,git| linux| machine learning| python,Programming & Design,"delhi ncr,chandigarh","it software - application programming , maintenance","it-software, software services",software developer,,,2319,3.0,8.0
nurses,,gnm| business executive,Medical Professional,pune,"medical , healthcare , r&d , pharmaceuticals , biotechnology","internet, ecommerce",nurse,73.8544541,18.521428,2098,2.0,5.0
marketing executive,,institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Marketing,"noida,noida/greater noida","marketing , advertising , mr , pr , media planning","it-software, software services",direct marketing executive,77.3327483,28.54322285,4807,2.0,7.0
hr recruiter (volume hiring),,recruitment|volume hiring|hr|bpo hiring|sourcing|interviewing|onboarding|staffing|orientation|human resource management,HR/ Recruitment / IR,gurgaon,"hr , recruitment , administration , ir",bpo / call centre / ites,hr executive,77.00270015,28.42826235,6631,,
java full stack developer,,java| css| rest| spring mvc| javascript| html| jpa| spring boot| jquery| web services,Programming & Design,pune,"it software - application programming , maintenance","it-software, software services",software developer,73.8544541,18.521428,6708,4.0,7.0
gm finance- export import company,,financial analysis| financial planning| taxation| vp finance,Senior Management,mumbai,"accounts , finance , tax , company secretary , audit","export, import",head/vp/gm-finance/audit,72.8773928,19.0759899,2007,10.0,17.0
content writer,,publishing| seo| content management| social media| wordpress| management systems| research| brand awareness| web technologies| journalism,Content Development,bengaluru,"journalism , editing , content","advertising, pr, mr, event management",content developer,77.590082,12.9767936,4162,1.0,3.0
job opening for sm/avp_credit audit_mumbai,,auditing| audit planning| risk assessment| banking| credit risk| credit policy,Senior Management,mumbai,"accounts , finance , tax , company secretary , audit","banking, financial services, broking",head/vp/gm-cfo/financial controller,72.8773928,19.0759899,3882,7.0,10.0
ios game developer,,c++| development| gaming| c| software| html| ios| opengl| iphone| design| mysql| javascript,Programming & Design,"faridabad,gurgaon,mumbai","it software - application programming , maintenance","it-software, software services",software developer,77.2005601,28.4070322,1860,3.0,8.0
hiring: executive-business developer(seller acquisition) on contract,,business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales,Retail Sales,ahmedabad,"sales , retail , business development","internet, ecommerce",sales executive/officer,72.5797068,23.0216238,3241,1.0,4.0
java/j2ee application developer,,rest| java| sql| oop| angularjs| ui development| oracle,Programming & Design,mumbai,"it software - application programming , maintenance","banking, financial services, broking",software developer,72.8773928,19.0759899,3436,3.0,6.0
"accepting application for intership for java, php, web design, android",,javascript| php| html| visualization| jquery| web| programming| commerce| web designing| application| android,Programming & Design,pune,"it software - application programming , maintenance","it-software, software services",software developer,73.8544541,18.521428,2821,0.0,1.0
automation-expert-senior-automation-expert,,process automation| commodity markets| artificial intelligence| market intelligence| machine learning| corporate| relationship| operations| analytics| robotics,Programming & Design,"gurgaon,haryana",it software - qa & testing,"it-software, software services",team lead/technical lead,77.00270015,28.42826235,2090,3.0,5.0
product manager- marketing(consumer durables),,it sales| marketing campaigns| social media| btl| marketing management| digital marketing| dealer sales| channel partners| communication skills| process flow,Institutional Sales,mumbai,"sales , retail , business development","banking, financial services, broking",sales/business development manager,72.8773928,19.0759899,2385,5.0,10.0
embedded android engineer,,android| troubleshooting| middleware| firmware| soc| linux kernel| bluetooth| computer science| test scripts| test strategy,Programming & Design,noida,"it software - embedded , eda , vlsi , asic , chip design","semiconductors, electronics",software developer,77.3271074,28.5707841,1880,10.0,12.0
inbound international bpo voice process-us shift,,outbound| antivirus| technical support| voice process| technical support executive| us shift| inbound voice process| customer service executive| comp| international bpo,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,6309,1.0,4.0
jr. support executives,,vide,Other,mumbai,"it hardware , technical support , telecom engineering",it-hardware & networking,fresher,72.8773928,19.0759899,6466,1.0,6.0
sales executive,,sales executive| cold calling| market research| customer profiling| sales executive| marketing executive| distributors| business development| sales strategy,Retail Sales,"coimbatore,raipur,visakhapatnam,pune","sales , retail , business development","industrial products, heavy machinery",sales executive/officer,,,2329,0.0,1.0
recruitment officer,,administration| hr| recruitment| recruitment executive| ir,HR/ Recruitment / IR,bengaluru,"hr , recruitment , administration , ir","recruitment, staffing",recruitment executive,77.590082,12.9767936,1824,0.0,1.0
senior principal software engineer,,web development| analytics| healthcare| software design| monitoring| jira| computer science| backend| inside sales| cloud,Programming & Design,pune,"it software - application programming , maintenance","bpo, call centre, ites",technical architect,73.8544541,18.521428,3944,8.0,10.0
senior branch sales & development head - agency - general insurance,,team management| advisory services| general insurance| sales initiatives| financial products| distributor sales| branch sales| sales development| motor insurance| marketing,General Insurance,"delhi ncr,mumbai,pune,ahmedabad,gurgaon,nagpur,gujarat,maharashtra,nashik","financial services , banking , investments , insurance",insurance,branch manager,,,2887,5.0,9.0
pharma/nutrition sales profile opening with hexagon nutrition,,clinical pharmacy| mr| sales officer| territory executive| business development| sales executive,Retail Sales,"chennai,bengaluru","sales , retail , business development","pharma, biotech, clinical research",sales executive/officer,77.5660159,13.0140789,4992,0.0,5.0
urgent job position for sap mdg functional analyst- all over india,,vide,System Design/Implementation/ERP/CRM,"delhi ncr,mumbai,bengaluru","it software - application programming , maintenance","it-software, software services",erp consultant,121.0977529,14.6719732,1558,6.0,11.0
manager / asst. manager - vendor development ( purchase ) - gurgaon,,sap| procurement| scm| material| sheetmetal| sheet metal| purchase| vd| vendor development| sourcing| bop,Purchase/Material Management,gurgaon,"supply chain , logistics , purchase , materials","industrial products, heavy machinery",purchase/vendor development manager,77.00270015,28.42826235,2929,7.0,12.0
java with angularjs and spring,,angularjs| css| core java| dom| computer science| javascript| html| spring| ajax,Programming & Design,greater noida,"it software - application programming , maintenance","it-software, software services",software developer,77.5137649,28.4670734,5708,3.0,6.0
manager- admission,,data analysis| admissions| placements| help desk| access controls| asset management,Other,ghaziabad,"teaching , education , training , counselling","education, teaching, training",other,77.45268496,28.7218316,3367,2.0,7.0
full time academic writer for ca/cma- accounting & taxation,,academic research| accounting| taxation| ifrs| us gaap| international taxation| cost accounting| company secretary| auditing| company law| corporate law| icwa| cma,,"delhi ncr,delhi,greater noida,gurgaon,noida",other,"education, teaching, training",other,,,3768,0.0,3.0
sales head for it consulting company in gurgaon,,marketing| bdm| sales| business development| it sales| ncr| hardware sales,Retail Sales,gurgaon,"sales , retail , business development","recruitment, staffing",sales/business development manager,77.00270015,28.42826235,2522,4.0,8.0
adeeba group is currently hiring for us inbound tech process.,,outbound| night shift| service| english| process| technical| technical support| inbound calls| voice process| group,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),88.35769124,22.5414185,2739,2.0,7.0
mechanical engineer require for shut down,,rt| pt| mpi| ndt inspection| ndt level| diploma| quality inspection| level ii| inspection engineering| mechanical engineering| ut,Production/Manufacturing/Maintenance,kolkata,"production , manufacturing , maintenance","oil and gas, energy, power, infrastructure",service/maintenance engineer,88.35769124,22.5414185,2459,5.0,10.0
care specialist,,customer service| healthcare| customer relationship| windows| graphic designing| cad| illustrator| customer satisfaction| application software,Voice,ahmedabad,"ites , bpo , kpo , lpo , customer service , operations","printing, packaging",associate/senior associate -(nontechnical),72.5797068,23.0216238,1678,2.0,5.0
opening for fresher,,bpo| any graduate| voice process| voice support,Voice,chennai,"ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),80.270186,13.0836939,6591,0.0,1.0
technical support associate / technical sales associate-inbound voice,,outbound| antivirus| comp| technical support| technical support associate| technical sales associate| sales| technical associate| voice support| inbound calls,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),88.35769124,22.5414185,5972,0.0,3.0
head of maintenance,,equipment maintenance| hydraulics| inventory management| management skills| maintenance head| electricals,Senior Management,"mumbai,pune","production , manufacturing , maintenance","automobile, auto anciliary, auto components",head/vp/gm-production/manufacturing/maintenance,73.85682537,18.52930005,6176,12.0,18.0
"tcs hiring for support analyst - bigdata(apache hadoop,aws certified)",,hive| apache| itil process| hadoop| big data| aws| core java,Programming & Design,chennai,"it software - application programming , maintenance","it-software, software services",software developer,80.270186,13.0836939,4642,2.0,6.0
job opening for corporate sales (insurance broking) mumbai/ bangalore,,motor insurance| insurance sales| insurance broking| general insurance,Corporate Sales,"mumbai,bengaluru","sales , retail , business development",insurance,sales/business development manager,77.5718472,13.0002869,2977,3.0,8.0
spring boot,,sql|hibernate|multithreading|ooad|eclipse|business process|outsourcing|version control|memory management|control system,Programming & Design,bengaluru,"it software - application programming , maintenance",it-software / software services,team lead/technical lead,77.590082,12.9767936,5170,,
sr. engineer design (mechanical),,catia| autocad| pressure vessels| mechanical| primavera| pscad,Engineering Design,pune,"engineering design , r&d","strategy, management consulting firms",senior design engineer,73.8544541,18.521428,2998,2.0,6.0
senior manager cost & program management,,team management| project execution| program management| customer experience| data analytics| supply chain| operations planning,Purchase/Material Management,bengaluru,purchase / logistics / supply chain,"internet, ecommerce",purchase/vendor development manager,77.590082,12.9767936,6415,6.0,9.0
manager sales commercial segment,,business development management| sales management,Retail Sales,"delhi ncr,chandigarh,mohali","sales , retail , business development","real estate, property",sales/business development manager,,,2264,4.0,9.0
outbound sales executive,,outbound sales| tele sales| sales executive activities,,pune,other,other,other,73.8544541,18.521428,6063,1.0,5.0
us tech process,,technical support| outbound| comp| technical| domestic bpo| us shift| process| inbound calls| bonus,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),88.35769124,22.5414185,4291,0.0,1.0
"community manager,",,operations| inventory management| vendor management| bhm| hospitality| front office| guest relations| hospitality management| hotel management,Front Office/Customer Care,bengaluru,"hotels , restaurants","travel , hotels , restaurants , airlines , railways",front office/guest relations executive/manager,77.590082,12.9767936,5975,0.0,1.0
software engineer- mobile applications - android,,financial s| windows| android| mobile development,Programming & Design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,77.590082,12.9767936,1915,3.0,8.0
hardware board design engineer,,hardware board design| mixed signal| design engineering,Programming & Design,bengaluru,"it software - embedded , eda , vlsi , asic , chip design","it-software, software services",software developer,77.590082,12.9767936,5066,3.0,8.0
corporate head - operations,,environment| functional| operations| business| verbal communication| coaching| analytical skills,Senior Management,mumbai,"ites , bpo , kpo , lpo , customer service , operations","security, law enforcement",head/vp/gm-operations,72.8773928,19.0759899,5426,5.0,10.0
hr recruitment executive,,screening| linkedin| it recruitment| hr recruitment| database| recruiter| sourcing| interviewing| recruitment,HR/ Recruitment / IR,noida,"hr , recruitment , administration , ir","bpo, call centre, ites",recruitment executive,77.3271074,28.5707841,5525,1.0,3.0
software engineer android,,java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications,Programming & Design,pune,"it software - application programming , maintenance","it-software, software services",software developer,73.8544541,18.521428,4995,2.0,6.0
sales coordinator,,retail sales| sales executive activities| revenue generation| inhouse sales,Retail Sales,ahmedabad,"sales , retail , business development","retail, wholesale",counter sales,72.5797068,23.0216238,2453,0.0,2.0
ecommerce executive,,bpo| customer support| international bpo| voice process| international voice| international voice process,Voice,gurgaon,"ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),77.00270015,28.42826235,2912,0.0,5.0
team lead / dev lead,,j2ee| core java| jquery| erp| tomcat| eclipse| open source| selenium| computer science| ofbiz,Programming & Design,bengaluru,"it software - application programming , maintenance","it-software, software services",team lead/technical lead,77.590082,12.9767936,3472,5.0,7.0
andriod developer,,android development| android studio| java| troubleshooting| api testing| api,,"mumbai,mumbai suburbs",other,"media, entertainment, internet",other,72.9249,19.0637885,6374,0.0,2.0
physics teacher,,counselor| mentor| trainer| advisor| teaching,Subject Teachers (TGT/PGT),mumbai,"teaching , education , training , counselling","education, teaching, training",physics teacher,72.8773928,19.0759899,5664,4.0,6.0
manager sales &amp; marketing,,lead generation| branding| business development| sales management| market research| competitive intelligence| market analysis| marketing,Institutional Sales,"delhi ncr,mumbai","sales , retail , business development","chemicals, petrochemical, plastic, rubber",sales/business development manager,121.0977529,14.6719732,6661,12.0,15.0
design engineer,,wireless| automation| simulation| networking| aerospace| fpga| coding| system verilog| automotive| physical design,Engineering Design,hyderabad,"engineering design , r&d","it-software, software services",design engineer,78.4740613,17.360589,2555,2.0,7.0
